time	V(vi)	V(vo)
1.690477696531447e-02	-9.308772e-01	-1.300499e+01
1.710008946531448e-02	-9.685971e-01	-1.300495e+01
1.729540196531448e-02	-9.917485e-01	-1.300490e+01
1.749071446531448e-02	-9.999830e-01	-1.300486e+01
1.768602696531449e-02	-9.931768e-01	-1.300489e+01
1.788133946531449e-02	-9.714323e-01	-1.300495e+01
1.807665196531449e-02	-9.350767e-01	-1.300498e+01
1.827196446531449e-02	-8.846565e-01	-1.300500e+01
1.846727696531450e-02	-8.209303e-01	-1.300501e+01
1.866258946531450e-02	-7.448565e-01	-1.300502e+01
1.885790196531450e-02	-6.575795e-01	-1.300503e+01
1.905321446531450e-02	-5.604118e-01	-1.300505e+01
1.924852696531451e-02	-4.548150e-01	-1.300506e+01
1.944383946531451e-02	-3.423773e-01	-1.300508e+01
1.963915196531451e-02	-2.247900e-01	-1.300509e+01
1.983446446531452e-02	-1.038216e-01	-1.300511e+01
2.012743321531452e-02	7.998312e-02	-1.300513e+01
2.032274571531452e-02	2.014001e-01	-1.300515e+01
2.051805821531453e-02	3.197879e-01	-1.300517e+01
2.071337071531453e-02	4.333657e-01	-1.300518e+01
2.090868321531453e-02	5.404253e-01	-1.300520e+01
2.110399571531453e-02	6.393564e-01	-1.300521e+01
2.129930821531454e-02	7.286710e-01	-1.300522e+01
2.149462071531454e-02	8.070257e-01	-1.300523e+01
2.168993321531454e-02	8.732420e-01	-1.300524e+01
2.188524571531454e-02	9.263240e-01	-1.300525e+01
2.208055821531455e-02	9.654731e-01	-1.300525e+01
2.227587071531455e-02	9.901006e-01	-1.300526e+01
2.247118321531455e-02	9.998361e-01	-1.300526e+01
2.266649571531456e-02	9.945331e-01	-1.300526e+01
2.286180821531456e-02	9.742714e-01	-1.300526e+01
2.305712071531456e-02	9.393558e-01	-1.300525e+01
2.325243321531456e-02	8.903114e-01	-1.300525e+01
2.344774571531457e-02	8.278759e-01	-1.300524e+01
2.364305821531457e-02	7.529883e-01	-1.300523e+01
2.383837071531457e-02	6.667752e-01	-1.300521e+01
2.403368321531458e-02	5.705330e-01	-1.300520e+01
2.422899571531458e-02	4.657096e-01	-1.300519e+01
2.442430821531458e-02	3.538814e-01	-1.300517e+01
2.461962071531458e-02	2.367305e-01	-1.300516e+01
2.481493321531459e-02	1.160190e-01	-1.300514e+01
2.501024571531459e-02	-6.437528e-03	-1.300512e+01
2.520555821531459e-02	-1.287972e-01	-1.300511e+01
2.540087071531459e-02	-2.492197e-01	-1.300509e+01
2.559618321531460e-02	-3.658938e-01	-1.300507e+01
2.579149571531460e-02	-4.770644e-01	-1.300506e+01
2.598680821531460e-02	-5.810595e-01	-1.300504e+01
2.618212071531461e-02	-6.763149e-01	-1.300503e+01
2.637743321531461e-02	-7.613980e-01	-1.300502e+01
2.657274571531461e-02	-8.350289e-01	-1.300501e+01
2.676805821531461e-02	-8.961002e-01	-1.300500e+01
2.696337071531462e-02	-9.436933e-01	-1.300498e+01
2.715868321531462e-02	-9.770924e-01	-1.300494e+01
2.735399571531462e-02	-9.957951e-01	-1.300488e+01
2.754930821531463e-02	-9.995201e-01	-1.300487e+01
2.774462071531463e-02	-9.882115e-01	-1.300491e+01
2.793993321531463e-02	-9.620391e-01	-1.300496e+01
2.813524571531463e-02	-9.213969e-01	-1.300499e+01
2.833055821531464e-02	-8.668959e-01	-1.300500e+01
2.852587071531464e-02	-7.993560e-01	-1.300502e+01
2.872118321531464e-02	-7.197931e-01	-1.300503e+01
2.891649571531464e-02	-6.294039e-01	-1.300504e+01
2.911180821531465e-02	-5.295478e-01	-1.300505e+01
