time	V(b)	V(vi)	V(vo)
1.502891895040664e-02	4.866729e-01	-9.084656e-03	1.016213e-02
1.502959092984948e-02	4.863755e-01	-9.295729e-03	9.915434e-03
1.502991112429065e-02	4.865707e-01	-9.396303e-03	9.944243e-03
1.503050927341550e-02	4.871785e-01	-9.584184e-03	1.010658e-02
1.503110742254036e-02	4.877920e-01	-9.772063e-03	1.027560e-02
1.503170557166522e-02	4.884113e-01	-9.959940e-03	1.045128e-02
1.503230372079008e-02	4.890362e-01	-1.014782e-02	1.063365e-02
1.503290186991494e-02	4.896669e-01	-1.033569e-02	1.082268e-02
1.503350001903980e-02	4.903034e-01	-1.052356e-02	1.101839e-02
1.503409816816466e-02	4.909455e-01	-1.071144e-02	1.122077e-02
1.505980508995339e-02	5.124143e-01	-1.878390e-02	1.937808e-02
1.508918442914051e-02	5.311655e-01	-2.800345e-02	2.863190e-02
1.514794310751475e-02	5.620412e-01	-4.641080e-02	4.704963e-02
1.524559935751475e-02	6.058354e-01	-7.685145e-02	7.746933e-02
1.544091185751475e-02	6.812987e-01	-1.367515e-01	1.373298e-01
1.563622435751475e-02	7.483124e-01	-1.945947e-01	1.951275e-01
1.583153685751475e-02	8.096409e-01	-2.495111e-01	2.499997e-01
1.602684935751475e-02	8.656030e-01	-3.006745e-01	3.011227e-01
1.622216185751476e-02	9.159458e-01	-3.473155e-01	3.477281e-01
1.641747435751476e-02	9.602508e-01	-3.887326e-01	3.891153e-01
1.661278685751476e-02	9.980642e-01	-4.243028e-01	4.246619e-01
1.680809935751476e-02	1.028958e+00	-4.534911e-01	4.538332e-01
1.700341185751477e-02	1.052561e+00	-4.758584e-01	4.761906e-01
1.719872435751477e-02	1.068583e+00	-4.910684e-01	4.913978e-01
1.739403685751477e-02	1.076820e+00	-4.988922e-01	4.992262e-01
1.758934935751478e-02	1.077169e+00	-4.992123e-01	4.995579e-01
1.778466185751478e-02	1.069624e+00	-4.920237e-01	4.923881e-01
1.797997435751478e-02	1.054282e+00	-4.774347e-01	4.778247e-01
1.817528685751478e-02	1.031337e+00	-4.556645e-01	4.560866e-01
1.837059935751479e-02	1.001073e+00	-4.270408e-01	4.275010e-01
1.856591185751479e-02	9.638534e-01	-3.919940e-01	3.924977e-01
1.876122435751479e-02	9.201031e-01	-3.510512e-01	3.516034e-01
1.895653685751479e-02	8.702753e-01	-3.048283e-01	3.054333e-01
1.915184935751480e-02	8.147949e-01	-2.540205e-01	2.546822e-01
1.934716185751480e-02	7.539312e-01	-1.993919e-01	2.001137e-01
1.954247435751480e-02	6.874494e-01	-1.417644e-01	1.425501e-01
1.973778685751481e-02	6.131048e-01	-8.200452e-02	8.286330e-02
1.983544310751481e-02	5.691891e-01	-5.160501e-02	5.251533e-02
1.993309935751481e-02	5.178831e-01	-2.101127e-02	2.201601e-02
1.994530638876481e-02	5.093628e-01	-1.717912e-02	1.821292e-02
1.996972045126481e-02	4.857862e-01	-9.512027e-03	1.067289e-02
1.998744908009419e-02	4.562603e-01	-3.942947e-03	5.471923e-03
2.000192675488771e-02	3.872624e-01	6.053078e-04	2.817383e-03
2.001240805247420e-02	2.437454e-01	3.898065e-03	3.472834e-03
2.002047731481144e-02	1.094605e-02	6.432961e-03	5.576117e-03
