time	V(n001)	V(n002)	V(n003)
3.399810492965357e-02	-3.449126e-04	-2.936825e+00	2.943741e-01
3.419341742965357e-02	-3.775277e-04	-2.420802e+00	2.426870e-01
3.438872992965358e-02	-4.042969e-04	-1.868246e+00	1.873496e-01
3.458404242965358e-02	-4.248173e-04	-1.287469e+00	1.291943e-01
3.477935492965358e-02	-4.387803e-04	-6.872044e-01	6.909586e-02
3.497466742965358e-02	-4.459759e-04	-7.648219e-02	7.958125e-03
3.516997992965359e-02	-4.462959e-04	5.355122e-01	-5.329931e-02
3.536529242965359e-02	-4.397354e-04	1.139574e+00	-1.137551e-01
3.556060492965359e-02	-4.263931e-04	1.726617e+00	-1.724999e-01
3.575591742965360e-02	-4.064697e-04	2.287812e+00	-2.286501e-01
3.595122992965360e-02	-3.802649e-04	2.814718e+00	-2.813612e-01
3.614654242965360e-02	-3.481730e-04	3.299410e+00	-3.298404e-01
3.634185492965360e-02	-3.106766e-04	3.734597e+00	-3.733584e-01
3.653716742965361e-02	-2.683396e-04	4.113735e+00	-4.112608e-01
3.673247992965361e-02	-2.217991e-04	4.431120e+00	-4.429775e-01
3.692779242965361e-02	-1.717549e-04	4.681978e+00	-4.680314e-01
3.712310492965362e-02	-1.189598e-04	4.862537e+00	-4.860456e-01
3.731841742965362e-02	-6.420779e-05	4.970081e+00	-4.967493e-01
3.751372992965362e-02	-8.322436e-06	5.002992e+00	-4.999814e-01
3.770904242965362e-02	4.785574e-05	4.960774e+00	-4.956933e-01
3.790435492965363e-02	1.034818e-04	4.844065e+00	-4.839495e-01
3.809966742965363e-02	1.577192e-04	4.654617e+00	-4.649267e-01
3.829497992965363e-02	2.097520e-04	4.395283e+00	-4.389109e-01
3.849029242965363e-02	2.587977e-04	4.069960e+00	-4.062935e-01
3.868560492965364e-02	3.041187e-04	3.683543e+00	-3.675651e-01
3.888091742965364e-02	3.450332e-04	3.241844e+00	-3.233082e-01
3.907622992965364e-02	3.809257e-04	2.751507e+00	-2.741884e-01
3.927154242965365e-02	4.112565e-04	2.219906e+00	-2.209445e-01
3.946685492965365e-02	4.355694e-04	1.655038e+00	-1.643775e-01
3.966216742965365e-02	4.534984e-04	1.065398e+00	-1.053380e-01
3.985747992965365e-02	4.647740e-04	4.598550e-01	-4.471419e-02
4.015044867965366e-02	4.688693e-04	-4.583215e-01	4.719448e-02
4.034576117965366e-02	4.629941e-04	-1.063588e+00	1.077716e-01
4.054107367965366e-02	4.503226e-04	-1.652736e+00	1.667278e-01
4.073638617965367e-02	4.310455e-04	-2.216903e+00	2.231762e-01
4.093169867965367e-02	4.054526e-04	-2.747604e+00	2.762679e-01
4.112701117965367e-02	3.739291e-04	-3.236857e+00	3.252042e-01
4.132232367965367e-02	3.369490e-04	-3.677302e+00	3.692492e-01
4.151763617965368e-02	2.950687e-04	-4.062316e+00	4.077403e-01
4.171294867965368e-02	2.489180e-04	-4.386107e+00	4.400986e-01
4.190826117965368e-02	1.991911e-04	-4.643805e+00	4.658374e-01
4.210357367965369e-02	1.466359e-04	-4.831534e+00	4.845696e-01
4.229888617965369e-02	9.204295e-05	-4.946470e+00	4.960134e-01
4.249419867965369e-02	3.623330e-05	-4.986885e+00	4.999967e-01
4.268951117965369e-02	-1.995365e-05	-4.952171e+00	4.964596e-01
4.288482367965370e-02	-7.567283e-05	-4.842850e+00	4.854552e-01
4.308013617965370e-02	-1.300862e-04	-4.660566e+00	4.671492e-01
4.327544867965370e-02	-1.823754e-04	-4.408061e+00	4.418168e-01
4.347076117965371e-02	-2.317539e-04	-4.089133e+00	4.098391e-01
4.366607367965371e-02	-2.774790e-04	-3.708578e+00	3.716970e-01
4.386138617965371e-02	-3.188630e-04	-3.272122e+00	3.279643e-01
4.405669867965371e-02	-3.552834e-04	-2.786328e+00	2.792987e-01
4.425201117965372e-02	-3.861924e-04	-2.258502e+00	2.264321e-01
4.444732367965372e-02	-4.111250e-04	-1.696586e+00	1.701598e-01
4.464263617965372e-02	-4.297062e-04	-1.109029e+00	1.113281e-01
4.483794867965372e-02	-4.416565e-04	-5.046697e-01	5.082200e-02
4.513091742965373e-02	-4.467837e-04	4.134542e-01	-4.108256e-02
4.532622992965373e-02	-4.415947e-04	1.019835e+00	-1.017720e-01
4.552154242965373e-02	-4.295959e-04	1.610998e+00	-1.609307e-01
4.571685492965374e-02	-4.109679e-04	2.178053e+00	-2.176688e-01
4.591216742965374e-02	-3.859908e-04	2.712469e+00	-2.711330e-01
4.610747992965374e-02	-3.550404e-04	3.206209e+00	-3.205191e-01
4.630279242965375e-02	-3.185822e-04	3.651846e+00	-3.650843e-01
4.649810492965375e-02	-2.771647e-04	4.042678e+00	-4.041583e-01
4.669341742965375e-02	-2.314107e-04	4.372826e+00	-4.371533e-01
4.688872992965375e-02	-1.820086e-04	4.637324e+00	-4.635732e-01
4.708404242965376e-02	-1.297012e-04	4.832195e+00	-4.830205e-01
4.727935492965376e-02	-7.527553e-05	4.954507e+00	-4.952027e-01
4.747466742965376e-02	-1.954997e-05	5.002420e+00	-4.999367e-01
4.766997992965376e-02	3.663728e-05	4.975214e+00	-4.971511e-01
4.786529242965377e-02	9.244116e-05	4.873298e+00	-4.868878e-01
4.806060492965377e-02	1.470224e-04	4.698205e+00	-4.693014e-01
4.825591742965377e-02	1.995599e-04	4.452568e+00	-4.446562e-01
4.845122992965378e-02	2.492637e-04	4.140082e+00	-4.133230e-01
4.864654242965378e-02	2.953861e-04	3.765448e+00	-3.757730e-01
4.884185492965378e-02	3.372334e-04	3.334299e+00	-3.325710e-01
4.903716742965378e-02	3.741760e-04	2.853121e+00	-2.843669e-01
4.923247992965379e-02	4.056585e-04	2.329151e+00	-2.318856e-01
4.942779242965379e-02	4.312071e-04	1.770271e+00	-1.759165e-01
4.962310492965379e-02	4.504377e-04	1.184886e+00	-1.173015e-01
4.981841742965380e-02	4.630608e-04	5.818009e-01	-5.692217e-02
5.001372992965380e-02	4.688866e-04	-2.991324e-02	4.313331e-03
5.020904242965380e-02	4.678275e-04	-6.410556e-01	6.548395e-02
5.040435492965380e-02	4.598995e-04	-1.242434e+00	1.256696e-01
5.059966742965381e-02	4.452217e-04	-1.825003e+00	1.839651e-01
5.079497992965381e-02	4.240150e-04	-2.380001e+00	2.394936e-01
5.099029242965381e-02	3.965984e-04	-2.899080e+00	2.914199e-01
5.118560492965381e-02	3.633842e-04	-3.374432e+00	3.389629e-01
5.138091742965382e-02	3.248721e-04	-3.798907e+00	3.814077e-01
5.157622992965382e-02	2.816414e-04	-4.166121e+00	4.181157e-01
5.177154242965382e-02	2.343423e-04	-4.470552e+00	4.485348e-01
5.196685492965383e-02	1.836862e-04	-4.707620e+00	4.722076e-01
5.216216742965383e-02	1.304351e-04	-4.873758e+00	4.887780e-01
5.235747992965383e-02	7.538986e-05	-4.966469e+00	4.979966e-01
5.255279242965383e-02	1.937838e-05	-4.984358e+00	4.997250e-01
5.274810492965384e-02	-3.675689e-05	-4.927155e+00	4.939370e-01
5.294341742965384e-02	-9.217167e-05	-4.795722e+00	4.807197e-01
5.313872992965384e-02	-1.460325e-04	-4.592035e+00	4.602719e-01
5.333404242965385e-02	-1.975293e-04	-4.319158e+00	4.329013e-01
5.352935492965385e-02	-2.458875e-04	-3.981194e+00	3.990194e-01
5.372466742965385e-02	-2.903797e-04	-3.583228e+00	3.591358e-01
5.391997992965385e-02	-3.303367e-04	-3.131245e+00	3.138506e-01
5.411529242965386e-02	-3.651576e-04	-2.632043e+00	2.638447e-01
5.431060492965386e-02	-3.943185e-04	-2.093132e+00	2.098704e-01
5.450591742965386e-02	-4.173809e-04	-1.522615e+00	1.527394e-01
5.470122992965386e-02	-4.339977e-04	-9.290757e-01	9.331108e-02
5.489654242965387e-02	-4.439190e-04	-3.214401e-01	3.247927e-02
5.509185492965387e-02	-4.469956e-04	2.911521e-01	-2.884106e-02
5.528716742965387e-02	-4.431813e-04	8.994868e-01	-8.972760e-02
5.548247992965388e-02	-4.325332e-04	1.494414e+00	-1.492645e-01
5.567779242965388e-02	-4.152118e-04	2.066986e+00	-2.065564e-01
5.587310492965388e-02	-3.914775e-04	2.608591e+00	-2.607415e-01
5.606841742965388e-02	-3.616873e-04	3.111081e+00	-3.110048e-01
5.626372992965389e-02	-3.262893e-04	3.566900e+00	-3.565902e-01
5.645904242965389e-02	-2.858160e-04	3.969191e+00	-3.968122e-01
5.665435492965389e-02	-2.408763e-04	4.311903e+00	-4.310658e-01
5.684966742965390e-02	-1.921459e-04	4.589882e+00	-4.588358e-01
5.704497992965390e-02	-1.403579e-04	4.798947e+00	-4.797045e-01
5.724029242965390e-02	-8.629121e-05	4.935954e+00	-4.933579e-01
5.743560492965390e-02	-3.075902e-05	4.998840e+00	-4.995908e-01
5.763091742965391e-02	2.540346e-05	4.986661e+00	-4.983094e-01
5.782622992965391e-02	8.135152e-05	4.899601e+00	-4.895329e-01
5.802154242965391e-02	1.362437e-04	4.738967e+00	-4.733934e-01
5.821685492965391e-02	1.892544e-04	4.507176e+00	-4.501337e-01
5.841216742965392e-02	2.395863e-04	4.207716e+00	-4.201034e-01
5.860747992965392e-02	2.864823e-04	3.845089e+00	-3.837545e-01
5.880279242965392e-02	3.292371e-04	3.424750e+00	-3.416335e-01
5.899810492965393e-02	3.672077e-04	2.953022e+00	-2.943741e-01
5.919341742965393e-02	3.998228e-04	2.436999e+00	-2.426870e-01
5.938872992965393e-02	4.265919e-04	1.884443e+00	-1.873496e-01
5.958404242965393e-02	4.471123e-04	1.303665e+00	-1.291943e-01
5.977935492965394e-02	4.610753e-04	7.034012e-01	-6.909586e-02
5.997466742965394e-02	4.682709e-04	9.267904e-02	-7.958125e-03
6.016997992965394e-02	4.685909e-04	-5.193154e-01	5.329931e-02
6.036529242965395e-02	4.620304e-04	-1.123377e+00	1.137551e-01
6.056060492965395e-02	4.486881e-04	-1.710420e+00	1.724999e-01
6.075591742965395e-02	4.287648e-04	-2.271615e+00	2.286501e-01
6.095122992965395e-02	4.025600e-04	-2.798521e+00	2.813612e-01
6.114654242965396e-02	3.704681e-04	-3.283213e+00	3.298404e-01
6.134185492965396e-02	3.329717e-04	-3.718400e+00	3.733584e-01
6.153716742965396e-02	2.906348e-04	-4.097538e+00	4.112608e-01
6.173247992965396e-02	2.440942e-04	-4.414923e+00	4.429775e-01
6.192779242965397e-02	1.940501e-04	-4.665781e+00	4.680314e-01
6.212310492965397e-02	1.412550e-04	-4.846340e+00	4.860456e-01
6.231841742965397e-02	8.650299e-05	-4.953884e+00	4.967493e-01
6.251372992965397e-02	3.061764e-05	-4.986795e+00	4.999814e-01
6.270904242965396e-02	-2.556054e-05	-4.944578e+00	4.956933e-01
6.290435492965395e-02	-8.118662e-05	-4.827868e+00	4.839495e-01
6.309966742965394e-02	-1.354240e-04	-4.638421e+00	4.649267e-01
6.329497992965392e-02	-1.874568e-04	-4.379086e+00	4.389109e-01
6.349029242965391e-02	-2.365026e-04	-4.053763e+00	4.062935e-01
6.368560492965390e-02	-2.818236e-04	-3.667346e+00	3.675651e-01
6.388091742965389e-02	-3.227381e-04	-3.225647e+00	3.233082e-01
6.407622992965388e-02	-3.586307e-04	-2.735310e+00	2.741884e-01
6.427154242965387e-02	-3.889615e-04	-2.203709e+00	2.209445e-01
6.446685492965386e-02	-4.132743e-04	-1.638841e+00	1.643775e-01
6.466216742965385e-02	-4.312034e-04	-1.049201e+00	1.053380e-01
6.485747992965384e-02	-4.424790e-04	-4.436581e-01	4.471419e-02
6.515044867965382e-02	-4.465743e-04	4.745183e-01	-4.719448e-02
6.534576117965381e-02	-4.406990e-04	1.079785e+00	-1.077716e-01
6.554107367965380e-02	-4.280276e-04	1.668933e+00	-1.667278e-01
6.573638617965379e-02	-4.087504e-04	2.233100e+00	-2.231762e-01
6.593169867965377e-02	-3.831576e-04	2.763801e+00	-2.762679e-01
6.612701117965376e-02	-3.516340e-04	3.253054e+00	-3.252042e-01
6.632232367965375e-02	-3.146539e-04	3.693499e+00	-3.692492e-01
6.651763617965374e-02	-2.727736e-04	4.078513e+00	-4.077403e-01
6.671294867965373e-02	-2.266228e-04	4.402304e+00	-4.400986e-01
6.690826117965372e-02	-1.768959e-04	4.660002e+00	-4.658374e-01
6.710357367965371e-02	-1.243407e-04	4.847731e+00	-4.845696e-01
6.729888617965370e-02	-6.974774e-05	4.962667e+00	-4.960134e-01
6.749419867965369e-02	-1.393809e-05	5.003082e+00	-4.999967e-01
6.768951117965367e-02	4.224885e-05	4.968368e+00	-4.964596e-01
6.788482367965366e-02	9.796803e-05	4.859047e+00	-4.854552e-01
6.808013617965365e-02	1.523814e-04	4.676763e+00	-4.671492e-01
6.827544867965364e-02	2.046705e-04	4.424258e+00	-4.418168e-01
6.847076117965363e-02	2.540490e-04	4.105330e+00	-4.098391e-01
6.866607367965362e-02	2.997741e-04	3.724775e+00	-3.716970e-01
6.886138617965361e-02	3.411581e-04	3.288319e+00	-3.279643e-01
6.905669867965360e-02	3.775785e-04	2.802524e+00	-2.792987e-01
6.925201117965359e-02	4.084874e-04	2.274699e+00	-2.264321e-01
6.944732367965357e-02	4.334200e-04	1.712783e+00	-1.701598e-01
6.964263617965356e-02	4.520012e-04	1.125226e+00	-1.113281e-01
6.983794867965355e-02	4.639515e-04	5.208665e-01	-5.082200e-02
7.013091742965354e-02	4.690787e-04	-3.972574e-01	4.108256e-02
7.032622992965352e-02	4.638897e-04	-1.003638e+00	1.017720e-01
7.052154242965351e-02	4.518909e-04	-1.594802e+00	1.609307e-01
7.071685492965350e-02	4.332629e-04	-2.161856e+00	2.176688e-01
7.091216742965349e-02	4.082859e-04	-2.696272e+00	2.711330e-01
7.110747992965348e-02	3.773355e-04	-3.190012e+00	3.205191e-01
7.130279242965347e-02	3.408773e-04	-3.635649e+00	3.650843e-01
7.149810492965346e-02	2.994598e-04	-4.026481e+00	4.041583e-01
7.169341742965345e-02	2.537059e-04	-4.356629e+00	4.371533e-01
