time	V(n001)	V(n002)	V(n003)
2.297537472997436e-05	3.715022e-01	-6.716200e-01	4.778619e-01
2.317068722997436e-05	3.421783e-01	-7.783452e-01	4.562575e-01
2.336599972997436e-05	3.066225e-01	-8.850609e-01	4.277906e-01
2.356131222997435e-05	2.652247e-01	-9.917578e-01	3.928894e-01
2.365896847997435e-05	2.424816e-01	-1.045091e+00	3.731863e-01
2.375662472997435e-05	2.184657e-01	-1.098398e+00	3.520787e-01
2.385428097997435e-05	1.932529e-01	-1.151645e+00	3.296459e-01
2.395193722997435e-05	1.669315e-01	-1.204730e+00	3.059724e-01
2.404959347997435e-05	1.396140e-01	-1.257372e+00	2.811473e-01
2.414724972997435e-05	1.114665e-01	-1.308836e+00	2.552640e-01
2.424490597997435e-05	8.275066e-02	-1.357459e+00	2.284200e-01
2.434256222997435e-05	5.384878e-02	-1.400257e+00	2.007162e-01
2.444021847997435e-05	2.522186e-02	-1.433153e+00	1.722570e-01
2.453787472997435e-05	-2.702425e-03	-1.452160e+00	1.431495e-01
2.463553097997435e-05	-2.965346e-02	-1.454992e+00	1.135032e-01
2.473047158473750e-05	-5.483816e-02	-1.441994e+00	8.427069e-02
2.482812783473750e-05	-7.980458e-02	-1.414547e+00	5.389035e-02
2.492578408473750e-05	-1.040390e-01	-1.376460e+00	2.330717e-02
2.502344033473750e-05	-1.277469e-01	-1.331280e+00	-7.363732e-03
2.521875283473750e-05	-1.740963e-01	-1.230569e+00	-6.850705e-02
2.541406533473750e-05	-2.191135e-01	-1.125250e+00	-1.286200e-01
2.560937783473750e-05	-2.622933e-01	-1.019000e+00	-1.867983e-01
2.580469033473750e-05	-3.029064e-01	-9.125798e-01	-2.421670e-01
2.600000283473750e-05	-3.402084e-01	-8.061250e-01	-2.938933e-01
2.619531533473749e-05	-3.734945e-01	-6.996591e-01	-3.411992e-01
2.639062783473749e-05	-4.021190e-01	-5.931857e-01	-3.833731e-01
2.648828408473749e-05	-4.145000e-01	-5.399462e-01	-4.023341e-01
2.658594033473749e-05	-4.255056e-01	-4.867048e-01	-4.197808e-01
2.668359658473749e-05	-4.350760e-01	-4.334614e-01	-4.356475e-01
2.678125283473749e-05	-4.431570e-01	-3.802159e-01	-4.498745e-01
2.687890908473749e-05	-4.496999e-01	-3.269683e-01	-4.624083e-01
2.697656533473749e-05	-4.546620e-01	-2.737184e-01	-4.732018e-01
2.707422158473749e-05	-4.580062e-01	-2.204663e-01	-4.822141e-01
2.717187783473749e-05	-4.597019e-01	-1.672119e-01	-4.894116e-01
2.736719033473749e-05	-4.580553e-01	-6.069596e-02	-4.982602e-01
2.756250283473749e-05	-4.496012e-01	4.582947e-02	-4.996145e-01
2.775781533473748e-05	-4.343211e-01	1.523645e-01	-4.934541e-01
2.795312783473748e-05	-4.122993e-01	2.589089e-01	-4.798718e-01
2.814844033473748e-05	-3.837212e-01	3.654624e-01	-4.590717e-01
2.834375283473748e-05	-3.488711e-01	4.720244e-01	-4.313667e-01
2.853906533473748e-05	-3.081277e-01	5.785933e-01	-3.971736e-01
2.873437783473748e-05	-2.619587e-01	6.851622e-01	-3.570067e-01
2.892969033473748e-05	-2.109182e-01	7.916843e-01	-3.114700e-01
2.902734658473748e-05	-1.837719e-01	8.448498e-01	-2.868992e-01
2.912500283473748e-05	-1.556726e-01	8.977721e-01	-2.612485e-01
2.922265908473748e-05	-1.267601e-01	9.499912e-01	-2.346146e-01
2.932031533473748e-05	-9.725124e-02	1.000343e+00	-2.070976e-01
2.941797158473747e-05	-6.748354e-02	1.046423e+00	-1.788012e-01
2.951562783473747e-05	-3.790760e-02	1.084432e+00	-1.498318e-01
2.961328408473747e-05	-8.995321e-03	1.110013e+00	-1.202985e-01
2.971094033473747e-05	1.889030e-02	1.119837e+00	-9.031234e-02
2.980859658473747e-05	4.560030e-02	1.113023e+00	-5.998632e-02
2.990131669293689e-05	6.988626e-02	1.092044e+00	-3.098241e-02
2.999897294293689e-05	9.451701e-02	1.057754e+00	-3.226595e-04
3.009662919293689e-05	1.184257e-01	1.015032e+00	3.033831e-02
3.029194169293688e-05	1.646929e-01	9.163200e-01	9.120271e-02
3.048725419293688e-05	2.091803e-01	8.113955e-01	1.506954e-01
3.068256669293689e-05	2.514946e-01	7.051491e-01	2.079214e-01
3.087787919293689e-05	2.909455e-01	5.986354e-01	2.620201e-01
3.107319169293690e-05	3.268106e-01	4.920508e-01	3.121778e-01
3.117084794293690e-05	3.431832e-01	4.387449e-01	3.355403e-01
3.126850419293691e-05	3.584082e-01	3.854319e-01	3.576400e-01
3.136616044293691e-05	3.724100e-01	3.321126e-01	3.783936e-01
3.146381669293691e-05	3.851178e-01	2.787873e-01	3.977230e-01
3.156147294293691e-05	3.964655e-01	2.254564e-01	4.155554e-01
3.165912919293692e-05	4.063922e-01	1.721202e-01	4.318239e-01
3.185444169293692e-05	4.217660e-01	6.543330e-02	4.594297e-01
3.204975419293693e-05	4.308620e-01	-4.127046e-02	4.801253e-01
3.224506669293693e-05	4.333980e-01	-1.479880e-01	4.935994e-01
3.244037919293694e-05	4.291902e-01	-2.547158e-01	4.996492e-01
3.263569169293694e-05	4.181563e-01	-3.614503e-01	4.981839e-01
3.283100419293695e-05	4.003166e-01	-4.681877e-01	4.892254e-01
